id_empresa,nome_empresa_ficticio,setor_economico,subsetor,pais,regiao,ano_referencia,porte_empresa,estagio_maturidade,split_ml,receita_bruta_usd_m,receita_liquida_usd_m,receita_liquida_t_1_usd_m,receita_liquida_t_2_usd_m,receita_recorrente_usd_m,receita_internacional_usd_m,crescimento_receita_pct,taxa_crescimento_anual_pct,lucro_bruto_usd_m,ebitda_usd_m,margem_ebitda_pct,lucro_operacional_usd_m,margem_operacional_pct,lucro_liquido_usd_m,margem_liquida_pct,margem_bruta_pct,roa_pct,roe_pct,roi_pct,ativos_totais_usd_m,passivos_totais_usd_m,divida_curto_prazo_usd_m,divida_longo_prazo_usd_m,divida_total_usd_m,patrimonio_liquido_usd_m,debt_to_equity,indice_alavancagem,cobertura_juros,ativos_circulantes_usd_m,passivos_circulantes_usd_m,caixa_usd_m,equivalentes_caixa_usd_m,capital_giro_usd_m,liquidez_corrente,liquidez_seca,liquidez_imediata,fluxo_operacional_usd_m,fluxo_investimentos_usd_m,fluxo_financiamentos_usd_m,fluxo_caixa_livre_usd_m,fluxo_caixa_livre_t_1_usd_m,variacao_caixa_usd_m,custos_operacionais_usd_m,despesas_administrativas_usd_m,despesas_financeiras_usd_m,investimentos_capex_usd_m,opex_usd_m,giro_ativo,giro_estoque,prazo_medio_recebimento_dias,prazo_medio_pagamento_dias,valor_mercado_estimado_usd_m,numero_funcionarios,market_share_estimado_pct,participacao_internacional_pct,indice_solvencia,indice_cobertura,indice_eficiencia_0_100,indice_risco_financeiro_0_100,indice_saude_financeira_0_100,score_financeiro_geral_0_100,target_deterioracao_financeira,target_probabilidade_deterioracao_pct,target_classe_risco,target_faixa_saude_financeira,target_probabilidade_insolvencia_pct,target_tende_crescer_proximo_periodo,target_fluxo_caixa_livre_proximo_periodo_usd_m,target_crescimento_receita_proximo_periodo_pct
EMP00011,Global Engenharia Group,Construção Civil,Incorporação,Austrália,Oceania,2025,Média,Inicial,treino,77.6225,75.2674,61.5104,54.5584,0.0,12.9532,22.3654,17.4554,17.0064,8.8156,11.7124,7.1936,9.5574,3.9012,5.1832,22.5947,3.4858,9.3407,6.1247,111.9168,70.1506,11.5684,24.76,36.3284,41.7663,0.8698,2.6796,2.2006,19.6681,15.9047,2.7778,1.4767,3.7634,1.2366,0.4699,0.2675,5.5557,-3.11,-2.7923,2.1517,1.9811,-0.3466,63.0082,3.4436,3.2689,3.404,66.4518,0.6725,2.3877,79.2443,58.768,87.6115,157,9.1243,17.2095,1.5954,1.6474,51.9128,10.483,92.0824,73.4071,Sim,2.8855,Baixo,Excelente,1.2875,Não,-1.7874,16.8747
EMP00012,Nexus Engenharia International,Construção Civil,Incorporação,Estados Unidos,América do Norte,2025,Grande,Expansão,validacao,22294.9868,21493.1297,22298.519,21015.3403,2696.1952,0.0,-3.6119,1.1304,3721.1721,1951.7547,9.0808,1552.9891,7.2255,923.6683,4.2975,17.3133,4.3426,17.347,8.8072,21269.8564,15945.1992,2515.7603,6211.8975,8727.6578,5324.6572,1.6391,3.9946,1.7471,6445.8337,5644.8478,820.0449,327.9655,800.9859,1.1419,0.4339,0.2034,1384.9655,-808.0343,-402.9912,572.5575,547.4852,173.94,18201.9944,1339.3806,888.8829,812.408,19541.375,1.0105,2.3296,78.1347,51.5815,11221.0198,63109,28.0,0.0,1.3339,1.4547,51.2676,45.6136,50.416,49.1713,Sim,32.9862,Médio,Atenção,9.9846,Não,-157.038,6.5058
EMP00013,Vitalis Engenharia International,Construção Civil,Incorporação,Estados Unidos,América do Norte,2025,Grande,Expansão,teste,16626.7772,15884.1721,15930.7681,15094.9817,0.0,2741.5047,-0.2925,2.5808,4019.1467,2429.2299,15.2934,2043.9679,12.868,1081.3103,6.8075,25.3028,5.6516,12.9451,12.0459,19132.6845,10779.6092,1631.497,3564.8123,5196.3093,8353.0753,0.6221,2.2905,6.2475,7098.9722,4060.7595,474.2373,173.2893,3038.2127,1.7482,0.6643,0.1595,1369.3582,-566.5154,470.4672,768.4146,758.366,1273.31,12865.536,589.4062,327.1667,600.9436,13454.9422,0.8302,2.6591,76.1132,77.9563,17255.216,47922,27.1572,17.2593,1.7749,3.9128,53.5428,2.3624,99.0,82.321,Não,0.5,Baixo,Excelente,0.1094,Não,388.3723,3.8216
EMP00014,Valor Power Brasil,Energia,Energia Elétrica,Brasil,América Latina,2025,Média,Reestruturação,treino,151.6382,148.9224,139.4958,143.2089,123.2354,57.3246,6.7576,1.9753,51.7215,35.2473,23.6682,20.3086,13.637,1.0002,0.6716,34.7305,0.3674,1.4394,7.4439,272.2279,202.7408,81.3496,49.5915,130.9411,69.4871,1.8844,3.9177,0.9617,38.0526,60.76,9.1172,4.599,-22.7074,0.6263,0.4372,0.2257,17.3549,-18.9068,31.7472,-4.5885,-3.9745,30.1952,104.9142,8.7609,21.1184,21.9433,113.6751,0.5471,8.4629,19.2264,47.4041,270.2609,196,0.4913,38.4929,1.3427,0.9856,52.49,90.8164,16.865,20.6393,Não,92.8324,Alto,Crítica,66.6748,Não,-9.0511,10.2574
EMP00015,Prime Pharma Serviços,Saúde,Diagnósticos,Austrália,Oceania,2025,Pequena,Madura,treino,37.2022,35.9853,34.8156,30.1522,29.4417,10.2933,3.3595,9.2452,25.9906,9.5006,26.4012,8.311,23.0956,5.1077,14.194,72.2257,11.3529,23.0189,18.3451,44.9907,22.8014,3.7123,5.5204,9.2327,22.1893,0.4161,2.0276,11.3567,25.3767,13.2701,4.2226,1.3439,12.1065,1.9123,1.7679,0.4195,5.4088,-1.6133,0.254,3.7955,3.5602,4.0495,23.1873,3.2974,0.7318,1.6133,26.4847,0.7998,5.2161,80.8344,49.6424,82.4233,49,0.7591,28.6041,1.9732,6.786,56.9371,1.0,92.3054,87.478,Não,0.5,Baixo,Excelente,0.1,Sim,4.25,9.0095
EMP00016,Estratega Cargo International,Logística e Transportes,Transporte Rodoviário,Índia,Ásia,2025,Pequena,Madura,treino,8.2566,7.9096,7.2609,6.3636,3.6206,1.5764,8.9349,11.4879,1.2169,1.0216,12.9163,0.6326,7.9984,0.0474,0.5991,15.3848,0.6264,3.6219,10.443,7.5647,6.2564,1.1498,1.9913,3.1411,1.3083,2.4009,5.7821,1.5019,1.8472,1.958,0.2275,0.0822,-0.1108,0.9434,0.3585,0.1582,0.5692,-0.9158,0.3236,-0.3739,-0.3637,-0.023,6.1942,0.6939,0.4212,0.9431,6.888,1.0456,0.5724,67.1307,4.0,10.3867,36,0.3304,19.9308,1.2091,1.6263,51.9726,89.1087,10.4792,17.105,Não,83.6049,Alto,Crítica,59.5813,Não,-0.3879,6.6229
EMP00017,Apex Rural Indústrias,Agronegócio,Produção Agrícola,México,América Latina,2025,Grande,Expansão,validacao,7901.5123,7517.5859,8215.2989,7677.6208,2174.9726,2660.9135,-8.4928,-1.0477,1687.2322,555.1525,7.3847,79.809,1.0616,-363.6184,-4.8369,22.4438,-5.2169,-17.9735,1.273,6969.9955,4946.9101,938.2019,1744.0372,2682.2392,2023.0854,1.3258,3.4452,0.2088,1873.8128,1385.5573,34.7237,21.0363,488.2556,1.3524,0.5139,0.0402,226.2027,-749.3916,455.636,-591.0478,-686.7877,-67.553,6603.2881,359.1454,382.2859,817.2504,6962.4335,1.0786,4.1835,35.9733,74.4327,5691.2881,19794,28.0,35.3959,1.409,1.0072,50.5816,96.8318,8.4094,3.8847,Não,84.5331,Alto,Crítica,57.417,Não,-375.6953,-10.4253
EMP00018,Vértice Home Holding,Bens de Consumo,Bens Duráveis,Brasil,América Latina,2025,Média,Reestruturação,treino,368.6379,338.3316,285.9521,248.3095,103.5802,73.3916,18.3176,16.7279,152.6036,51.4662,15.2118,43.2435,12.7814,23.8429,7.0472,45.1047,9.475,29.5927,18.8754,251.6391,171.0687,25.2909,56.1221,81.413,80.5704,1.0105,3.1232,4.1901,95.9141,66.2562,22.2864,6.2783,29.6578,1.4476,0.7354,0.4311,29.5548,-21.0404,-0.9238,7.2665,7.4527,7.5905,261.0306,25.8347,10.3203,22.2883,286.8653,1.3445,3.9358,24.4716,67.126,663.7623,249,6.9497,21.6922,1.471,3.4604,53.2372,8.2396,93.3572,86.4143,Não,0.5,Baixo,Excelente,0.3417,Não,15.0149,3.8511
EMP00019,Apex Power Partners,Energia,Petróleo e Gás,Alemanha,Europa,2025,Pequena,Expansão,treino,2.0731,1.9401,1.7634,1.7738,1.488,0.3188,10.0197,4.5821,0.7429,0.5054,26.0496,0.3161,16.2945,0.1415,7.2933,38.2926,3.5143,9.7085,7.1425,4.0263,2.5688,0.4213,1.0234,1.4446,1.4575,0.9912,2.7625,3.7317,0.7366,0.6704,0.2215,0.078,0.0662,1.0987,0.8048,0.4467,0.3832,-0.3202,0.0497,0.0491,0.0477,0.1126,1.346,0.0887,0.0847,0.3341,1.4347,0.4819,6.0751,43.4738,46.7303,3.9057,10,0.0072,16.433,1.5674,3.1481,56.08,30.8573,68.4942,59.5895,Sim,12.8401,Baixo,Boa,2.8421,Não,-0.0067,-16.5416
EMP00020,Nova Cloud Empreendimentos,Tecnologia,Semicondutores,Reino Unido,Europa,2025,Pequena,Madura,treino,52.0936,50.5735,54.8285,62.1847,37.5894,13.7003,-7.7606,-9.818,12.9613,2.0674,4.0879,-0.0393,-0.0778,-0.5724,-1.1319,25.6287,-0.9576,-1.5754,-0.0616,59.7767,23.4417,5.0193,5.3528,10.3721,36.3351,0.2855,1.6452,-0.0253,18.1449,13.3873,6.993,1.3386,4.7576,1.3554,0.9165,0.6224,3.2986,-2.8618,4.4701,0.3331,0.4023,4.9069,42.2299,6.2762,1.5578,2.9656,48.5061,0.846,6.4012,48.4994,38.4089,82.9081,49,0.9855,27.0899,2.55,0.84,50.2532,87.6797,11.2842,14.1266,Sim,74.3368,Alto,Crítica,38.7994,Não,-0.6277,3.4376
EMP00021,Atlas Foods Sistemas,Agronegócio,Alimentos e Insumos,Estados Unidos,América do Norte,2025,Pequena,Madura,treino,3.3177,3.0843,3.3546,3.4196,0.47,1.8114,-8.0576,-5.0294,1.0064,0.3017,9.7808,0.1977,6.4098,0.0637,2.0657,32.6298,1.4812,3.3361,4.9281,4.3014,2.3916,0.5288,0.7138,1.2426,1.9098,0.6506,2.2523,1.8576,1.4874,1.0513,0.2655,0.0566,0.4361,1.4148,0.904,0.3064,0.2246,-0.4054,0.2823,-0.2078,-0.2077,0.1015,2.6285,0.1541,0.1064,0.4323,2.7826,0.717,3.869,48.729,62.621,3.4214,10,0.6894,58.7293,1.7985,1.4964,51.6343,59.9723,36.6074,34.9532,Sim,22.9355,Baixo,Crítica,10.6631,Não,-0.4116,-2.2653
EMP00022,Blue Finance Sistemas,Bancos e Serviços Financeiros,Banco Comercial,Índia,Ásia,2025,Média,Expansão,validacao,422.4204,420.3083,355.8153,322.5617,298.7111,28.9769,18.1254,14.1504,235.6675,122.3303,29.1049,118.9817,28.3082,-46.3353,-11.0241,56.0701,-0.7607,-33.9234,6.487,6091.4626,5954.8747,534.9436,730.9438,1265.8873,136.5879,9.2679,44.5974,0.7228,2167.4368,2143.8414,256.928,147.3393,23.5954,1.011,1.011,0.1886,-41.5154,-4.2755,193.1278,-46.3302,-44.9107,147.337,238.546,59.4321,164.6116,4.8148,297.9781,0.069,0.0,0,0,527.5814,249,27.054,6.8942,1.0229,0.4689,47.6055,99.0,2.367,8.5152,Sim,95.1813,Alto,Crítica,96.6973,Não,-42.9786,9.013
EMP00023,Solidez Retail Soluções,Varejo,Moda e Vestuário,Brasil,América Latina,2025,Grande,Madura,treino,18206.5495,16838.3208,15094.6697,14309.6222,4155.8447,2976.7244,11.5514,8.4764,5565.5002,1418.2135,8.4225,931.0309,5.5292,657.3594,3.9039,33.0526,10.5652,33.1342,16.7452,6221.9422,4238.0099,896.8855,1144.7738,2041.6592,1983.9323,1.0291,3.1362,3.8723,1587.9178,1203.5343,275.5655,301.4502,384.3835,1.3194,0.5014,0.4794,1164.1973,-883.5198,-16.4373,259.8357,223.96,264.2401,13864.3487,1555.7586,240.4306,904.3616,15420.1074,2.7063,5.6493,3.9637,57.0213,16046.1409,77641,15.4704,17.6783,1.4681,3.529,51.812,12.975,85.5514,82.3681,Sim,1.936,Baixo,Excelente,0.9889,Não,-188.3603,16.5311
EMP00024,Eco Professional Global,Serviços Empresariais,Serviços Profissionais,Reino Unido,Europa,2025,Grande,Expansão,treino,924.1937,878.1046,802.51,694.1724,565.6727,246.1757,9.4198,12.4707,508.1589,185.6826,21.1458,172.1459,19.6043,124.4789,14.1759,57.87,22.9215,38.5475,30.0998,543.0658,220.142,36.7656,72.6862,109.4518,322.9238,0.3389,1.6817,26.6439,173.9685,110.4188,24.9667,11.0038,63.5497,1.5755,1.5755,0.3258,152.0636,-19.1145,-18.7428,132.2301,123.1105,114.2063,586.4527,105.9693,6.461,19.8335,692.422,1.6169,0.0,37.5718,37.8568,1303.2755,5304,1.4739,28.0349,2.4669,14.1972,55.6824,1.0,91.9194,87.0129,Não,0.5,Baixo,Excelente,0.1,Sim,100.8993,13.1887
EMP00025,Integra Grãos Group,Agronegócio,Proteína Animal,Brasil,América Latina,2025,Grande,Expansão,treino,2585.9373,2510.0147,2116.6344,1918.9164,713.5003,1111.6825,18.5852,14.3695,866.3716,294.3227,11.7259,179.3891,7.1469,20.3146,0.8093,34.5166,0.7836,1.716,6.7482,2592.6166,1408.7771,342.1677,434.0242,776.192,1183.8395,0.6557,2.19,1.962,652.0345,521.4796,114.7379,73.4722,130.5549,1.2504,0.4751,0.3609,141.7467,-191.3782,206.4882,-71.5871,-66.2242,156.8567,2064.7863,150.9057,91.4318,213.3338,2215.692,0.9681,3.4443,59.0807,64.0294,2727.9605,3552,28.0,44.2899,1.8403,1.9234,52.1059,15.8231,86.6022,64.6396,Sim,3.5602,Baixo,Excelente,1.6017,Não,-81.2652,1.7991
EMP00026,Nova Data International,Tecnologia,Semicondutores,Estados Unidos,América do Norte,2025,Média,Madura,teste,491.9633,470.3199,405.6486,352.5184,388.0549,176.4507,15.9427,15.5063,298.6408,110.0541,23.3998,89.3153,18.9903,62.6793,13.327,63.4974,11.7153,22.0884,18.5613,535.0228,251.257,48.2764,56.233,104.5094,283.7658,0.3683,1.8854,12.5166,155.9687,100.7884,42.0683,33.6068,55.1803,1.5475,1.3387,0.7508,81.0913,-31.54,16.6995,49.5513,55.3629,66.2508,322.6874,37.5784,7.1357,31.54,360.2657,0.8791,8.1588,49.7803,40.7782,1958.3222,249,1.5101,37.5172,2.1294,6.9542,56.1428,1.0,99.0,91.4857,Não,0.5,Baixo,Excelente,0.1,Não,38.0739,2.2516
EMP00027,Nova Fabril Serviços,Indústria,Materiais Industriais,Brasil,América Latina,2025,Média,Reestruturação,treino,65.2104,63.1399,63.4225,62.8566,12.7987,29.1713,-0.4456,0.2251,19.5775,9.6644,15.3064,5.8344,9.2405,2.6153,4.1421,31.0066,4.3339,11.0773,9.71,60.3456,36.7359,3.9837,16.4482,20.4319,23.6097,0.8654,2.556,2.324,18.6291,10.9138,3.4812,1.984,7.7153,1.7069,0.978,0.5008,5.9734,-6.0567,-0.8532,-0.6772,-0.6106,-0.9366,50.0369,3.4385,2.5105,6.6506,53.4754,1.0463,5.4759,63.3486,49.1897,103.9098,204,0.0553,46.2011,1.6427,2.9943,53.0027,31.7045,66.4642,59.416,Não,3.2468,Baixo,Boa,1.1858,Não,0.1215,0.1393
EMP00028,Terranova Lojas International,Varejo,Varejo Especializado,Reino Unido,Europa,2025,Média,Madura,treino,271.0733,244.5112,235.6865,230.8304,33.5336,22.0006,3.7443,2.9207,83.2691,26.1448,10.6927,17.4346,7.1304,11.5639,4.7294,34.0553,10.5452,29.5647,15.4611,109.6607,70.5467,6.998,32.8968,39.8948,39.114,1.02,2.8036,7.1634,30.4284,22.4013,6.386,2.0449,8.0271,1.3583,0.5162,0.3764,21.4136,-9.5613,-2.8835,11.4815,11.8269,8.9687,201.6998,16.6667,2.4338,9.932,218.3665,2.2297,5.7402,33.8215,56.247,134.4247,249,0.5617,8.9978,1.5544,7.0787,52.5479,8.1561,93.8132,87.6228,Não,0.5572,Baixo,Excelente,0.1927,Não,5.5547,-8.4439
EMP00029,Inova Power Holding,Energia,Serviços de Energia,Estados Unidos,América do Norte,2025,Pequena,Inicial,treino,15.5075,14.6016,11.7476,11.5961,10.2815,3.5495,24.2944,12.2134,3.9688,2.6445,18.1112,1.1055,7.5709,0.1797,1.2307,27.1803,0.4419,1.4024,3.1881,40.6631,27.8491,4.9342,9.9331,14.8673,12.814,1.1602,3.1733,1.228,6.7212,5.1675,1.621,1.1293,1.5537,1.3007,1.0965,0.5322,1.7522,-2.4127,-1.8938,-1.0867,-0.8846,-2.5544,11.4752,0.4819,0.9002,2.8388,11.9571,0.3591,10.0767,32.2166,44.7033,18.8611,18,0.9412,24.3087,1.4601,1.4787,53.1762,55.0393,42.5483,36.8355,Não,6.7847,Baixo,Atenção,6.9604,Sim,0.0335,20.8326
EMP00030,Lumina Materials Participações,Indústria,Materiais Industriais,Reino Unido,Europa,2025,Média,Madura,treino,133.0148,124.1022,141.6365,151.5138,51.2096,27.8857,-12.3798,-9.4969,26.7588,10.7542,8.6656,5.0081,4.0354,2.8841,2.324,21.5619,2.2853,6.1554,4.4937,126.205,79.3494,12.6185,27.2649,39.8834,46.8556,0.8512,2.6935,1.5864,40.8645,25.9525,6.511,3.7574,14.9121,1.5746,0.7676,0.3957,10.0042,-9.5399,2.4088,-0.6713,-0.7003,2.8731,103.6237,9.7242,3.1569,10.6755,113.348,0.9833,4.6478,38.9417,47.7502,187.8356,249,0.2033,22.4699,1.5905,1.9812,51.5788,48.0732,51.0572,45.5102,Não,27.8445,Baixo,Atenção,6.2344,Não,-2.1879,-4.9681
